dataset,backbone,family,episode,false_pick_alpha,pick_score_threshold,calibration_unsafe_pick_rate,calibration_strict_pick_precision,calibration_n_pick,calibration_n_unsafe_pick,query_unsafe_pick_rate,query_strict_pick_precision,query_n_pick,query_n_unsafe_pick,temperature,alpha,beta,proto_weight,calibration_nll
strawberry,vitb32,TipAdapter,4,0.05,0.3611948623237834,0.0899581589958159,0.9100418410041841,478,43,0.08558558558558559,0.9144144144144144,222,19,,2.0,10.0,,0.6802834400177746
strawberry,vitb32,ProtoAdapter,4,0.05,0.3382047609637006,0.06502242152466367,0.9349775784753364,446,29,0.036458333333333336,0.9635416666666666,192,7,,,,8.0,0.9685785595403756
strawberry,vitb32,TipAdapter,4,0.1,0.3611948623237834,0.0899581589958159,0.9100418410041841,478,43,0.08558558558558559,0.9144144144144144,222,19,,2.0,10.0,,0.6802834400177746
strawberry,vitb32,ProtoAdapter,4,0.1,0.3382047609637006,0.06502242152466367,0.9349775784753364,446,29,0.036458333333333336,0.9635416666666666,192,7,,,,8.0,0.9685785595403756
strawberry,vitb32,TipAdapter,5,0.05,0.3766543502717106,0.07209302325581396,0.9279069767441861,430,31,0.049723756906077346,0.9502762430939227,181,9,,2.0,3.0,,0.7273422950001832
strawberry,vitb32,ProtoAdapter,5,0.05,0.33700558542043507,0.10567514677103718,0.8943248532289628,511,54,0.08482142857142858,0.9151785714285714,224,19,,,,8.0,0.9729831791251766
strawberry,vitb32,TipAdapter,5,0.1,0.3766543502717106,0.07209302325581396,0.9279069767441861,430,31,0.049723756906077346,0.9502762430939227,181,9,,2.0,3.0,,0.7273422950001832
strawberry,vitb32,ProtoAdapter,5,0.1,0.33700558542043507,0.10567514677103718,0.8943248532289628,511,54,0.08482142857142858,0.9151785714285714,224,19,,,,8.0,0.9729831791251766
strawberry,vitb32,TipAdapter,6,0.05,0.3520721022415903,0.14136125654450263,0.8586387434554974,573,81,0.13013698630136986,0.8698630136986302,292,38,,2.0,5.5,,0.5761844116374932
strawberry,vitb32,ProtoAdapter,6,0.05,0.3377710821471145,0.09259259259259259,0.9074074074074074,540,50,0.1037037037037037,0.8962962962962963,270,28,,,,8.0,0.9966908822707139
strawberry,vitb32,TipAdapter,6,0.1,0.3520721022415903,0.14136125654450263,0.8586387434554974,573,81,0.13013698630136986,0.8698630136986302,292,38,,2.0,5.5,,0.5761844116374932
strawberry,vitb32,ProtoAdapter,6,0.1,0.3377710821471145,0.09259259259259259,0.9074074074074074,540,50,0.1037037037037037,0.8962962962962963,270,28,,,,8.0,0.9966908822707139
strawberry,vitb32,TipAdapter,7,0.05,0.3386883425253775,0.0860655737704918,0.9139344262295082,488,42,0.07391304347826087,0.9260869565217391,230,17,,2.0,5.5,,0.6020144563858494
strawberry,vitb32,ProtoAdapter,7,0.05,0.3349700236579287,0.079002079002079,0.920997920997921,481,38,0.07456140350877193,0.9254385964912281,228,17,,,,8.0,0.9884572225690171
