dataset,backbone,family,episode,false_pick_alpha,pick_score_threshold,calibration_false_pick_rate,calibration_coverage,false_pick_rate,pick_precision,pick_recall,revisit_burden,coverage,n_samples,n_pick,n_wait,n_revisit,n_false_pick,n_true_pick,temperature,alpha,beta,proto_weight,calibration_nll
strawberry,vitb32,TipAdapter,2,0.05,0.4243526775076574,0.04962779156327544,0.6032863849765258,0.025380710659898477,0.9746192893401016,0.6142322097378277,0.3642495784148398,0.6357504215851602,593,197,180,216,5,164,,2.0,10.0,,0.843231485011363
strawberry,vitb32,ProtoAdapter,2,0.05,0.33644923158777873,0.013745704467353952,0.5993740219092332,0.0,1.0,0.49812734082397003,0.3760539629005059,0.623946037099494,593,154,216,223,0,133,,,,8.0,1.0230289474462204
strawberry,vitb32,TipAdapter,2,0.1,0.35785138841627306,0.05502392344497608,0.6150234741784038,0.028985507246376812,0.9710144927536232,0.6367041198501873,0.3473861720067454,0.6526138279932546,593,207,180,206,6,170,,2.0,10.0,,0.843231485011363
strawberry,vitb32,ProtoAdapter,2,0.1,0.33644923158777873,0.013745704467353952,0.5993740219092332,0.0,1.0,0.49812734082397003,0.3760539629005059,0.623946037099494,593,154,216,223,0,133,,,,8.0,1.0230289474462204
strawberry,vitb32,TipAdapter,3,0.05,0.34589394153071834,0.006741573033707865,0.6838810641627543,0.0,1.0,0.7340823970037453,0.3440134907251265,0.6559865092748736,593,210,179,204,0,196,,2.0,10.0,,0.6488047099242521
strawberry,vitb32,ProtoAdapter,3,0.05,0.33516646998084,0.00847457627118644,0.7026604068857589,0.0,1.0,0.7640449438202247,0.3254637436762226,0.6745362563237773,593,222,178,193,0,204,,,,8.0,0.9993314785482598
strawberry,vitb32,TipAdapter,3,0.1,0.34589394153071834,0.006741573033707865,0.6838810641627543,0.0,1.0,0.7340823970037453,0.3440134907251265,0.6559865092748736,593,210,179,204,0,196,,2.0,10.0,,0.6488047099242521
strawberry,vitb32,ProtoAdapter,3,0.1,0.33516646998084,0.00847457627118644,0.7026604068857589,0.0,1.0,0.7640449438202247,0.3254637436762226,0.6745362563237773,593,222,178,193,0,204,,,,8.0,0.9993314785482598
strawberry,vitb32,TipAdapter,4,0.05,0.3611948623237834,0.008368200836820083,0.7183098591549295,0.0,1.0,0.7602996254681648,0.3102866779089376,0.6897133220910624,593,222,187,184,0,203,,2.0,10.0,,0.6802834400177746
strawberry,vitb32,ProtoAdapter,4,0.05,0.3382047609637006,0.004484304932735426,0.730829420970266,0.0,1.0,0.6928838951310862,0.3136593591905565,0.6863406408094435,593,192,215,186,0,185,,,,8.0,0.9685785595403756
strawberry,vitb32,TipAdapter,4,0.1,0.3611948623237834,0.008368200836820083,0.7183098591549295,0.0,1.0,0.7602996254681648,0.3102866779089376,0.6897133220910624,593,222,187,184,0,203,,2.0,10.0,,0.6802834400177746
strawberry,vitb32,ProtoAdapter,4,0.1,0.3382047609637006,0.004484304932735426,0.730829420970266,0.0,1.0,0.6928838951310862,0.3136593591905565,0.6863406408094435,593,192,215,186,0,185,,,,8.0,0.9685785595403756
strawberry,vitb32,TipAdapter,5,0.05,0.3766543502717106,0.004651162790697674,0.772300469483568,0.0,1.0,0.6441947565543071,0.26812816188870153,0.7318718381112985,593,181,253,159,0,172,,2.0,3.0,,0.7273422950001832
strawberry,vitb32,ProtoAdapter,5,0.05,0.33700558542043507,0.007827788649706457,0.770735524256651,0.004464285714285714,0.9955357142857143,0.7677902621722846,0.2630691399662732,0.7369308600337268,593,224,213,156,1,205,,,,8.0,0.9729831791251766
strawberry,vitb32,TipAdapter,5,0.1,0.3766543502717106,0.004651162790697674,0.772300469483568,0.0,1.0,0.6441947565543071,0.26812816188870153,0.7318718381112985,593,181,253,159,0,172,,2.0,3.0,,0.7273422950001832
